C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_16_464.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_16_464.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_16_464.jpg, 0, 0, 0, 7.80272E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_16_565.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_16_565.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_16_565.jpg, 0, 0, 0, 7.798262E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_16_671.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_16_671.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_16_671.jpg, 0, 0, 0, 7.796909E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_16_776.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_16_776.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_16_776.jpg, 0, 0, 0, 7.864511E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_16_877.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_16_877.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_16_877.jpg, 0, 0, 0, 7.811228E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_16_977.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_16_977.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_16_977.jpg, 0, 0, 0, 7.947603E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_082.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_082.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_082.jpg, 0, 0, 0, 7.951692E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_185.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_185.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_185.jpg, 0, 0, 0, 7.880793E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_288.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_288.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_288.jpg, 0, 0, 0, 7.831127E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_393.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_393.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_393.jpg, 0, 0, 0, 7.89105E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_493.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_493.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_493.jpg, 0, 0, 0, 8.181509E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_593.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_593.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_593.jpg, 0, 0, 0, 8.059996E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_696.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_696.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_696.jpg, 0, 0, 0, 7.810723E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_797.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_797.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_797.jpg, 0, 0, 0, 7.784057E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_17_901.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_17_901.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_17_901.jpg, 0, 0, 0, 7.811931E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_18_006.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_18_006.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_18_006.jpg, 0, 0, 0, 7.84468E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_18_108.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_18_108.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_18_108.jpg, 0, 0, 0, 7.867048E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_18_211.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_18_211.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_18_211.jpg, 0, 0, 0, 7.819983E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_18_317.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_18_317.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_18_317.jpg, 0, 0, 0, 7.781394E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_18_417.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_18_417.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_18_417.jpg, 0, 0, 0, 7.824189E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_18_517.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_18_517.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_18_517.jpg, 0, 0, 0, 7.996926E-05
C:\Users\Erdenekhuu\Desktop\IMG\center_2023_11_22_12_34_18_618.jpg, C:\Users\Erdenekhuu\Desktop\IMG\left_2023_11_22_12_34_18_618.jpg, C:\Users\Erdenekhuu\Desktop\IMG\right_2023_11_22_12_34_18_618.jpg, 0, 0, 0, 7.800253E-05
